Player,Position,NFL Team,Pre-Season Rank,Actual Rank,Rostered %,Bye,Roster Status,Yahoo Player ID
CJ Daniels,WR,LAR,341,341,0%,11,FA,42819
Jarquez Hunter,RB,Mia,342,342,0%,6,FA,41919
Emari Demercado,RB,Dal,343,343,0%,14,FA,40430
Savion Williams,WR,GB,344,344,0%,11,FA,41851
Zavion Thomas,WR,Chi,345,345,2%,10,FA,42711
Roman Wilson,WR,Pit,346,346,0%,9,FA,40952
Kendrick Bourne,WR,Ari,348,348,0%,14,FA,30551
Kalif Raymond,WR,Chi,350,350,0%,10,FA,29631
Corey Kiner,RB,NE,351,351,0%,11,FA,42386
Justin Fields,QB,KC,356,356,1%,5,FA,33399
Tyler Higbee,TE,LAR,359,359,1%,11,FA,29344
Jonnu Smith,TE,GB,361,361,0%,11,FA,30213
Dawson Knox,TE,Buf,363,363,1%,7,FA,31928
Carson Wentz,QB,Min,366,366,0%,6,FA,29236
Taysom Hill,TE,NO,373,373,0%,8,FA,30614
Cole Kmet,TE,Chi,376,376,1%,10,FA,32713
Audric Estime,RB,NO,378,378,0%,8,FA,41019
Josh Oliver,TE,Min,2070,2070,0%,6,FA,31901
Austin Hooper,TE,Atl,2073,2073,0%,11,FA,29315
Jawhar Jordan,RB,Hou,2074,2074,0%,8,FA,41064
Brock Wright,TE,Det,2075,2075,0%,6,FA,33774
Greg Dortch,WR,Buf,2078,2078,0%,7,FA,32523
KaVontae Turpin,WR,Dal,2080,2080,4%,14,FA,34709
Joe Flacco,QB,Cin,2083,2083,0%,6,FA,8795
Sterling Shepard,WR,Hou,2084,2084,0%,8,FA,29274
Olamide Zaccheaus,WR,Atl,2086,2086,0%,11,FA,32123
Kevin Austin Jr.,WR,NO,2087,2087,0%,8,FA,34242
Cedric Tillman,WR,NO,2088,2088,0%,8,FA,40093
Miles Sanders,RB,Dal,2089,2089,0%,14,FA,31885
Tanner Hudson,TE,Cin,2090,2090,0%,6,FA,31257
Ja'Tavion Sanders,TE,Car,2092,2092,0%,5,FA,40995
Devontez Walker,WR,Bal,2093,2093,0%,13,FA,40991
Daniel Bellinger,TE,Ten,2095,2095,0%,9,FA,34068
Hunter Renfrow,WR,Car,2096,2096,0%,5,FA,31981
Tommy Tremble,TE,Car,2097,2097,0%,5,FA,33471
Gabe Davis,WR,Buf,2099,2099,0%,7,FA,32798
Hunter Long,TE,Ari,2102,2102,0%,14,FA,33469
Jalen Tolbert,WR,Mia,2103,2103,0%,6,FA,34044
Jackson Hawes,TE,Buf,2104,2104,0%,7,FA,41959
Mac Jones,QB,SF,2106,2106,0%,8,FA,33403
Adam Trautman,TE,Den,2107,2107,0%,10,FA,32775
Tyler Conklin,TE,Det,2109,2109,0%,6,FA,31127
Lil'Jordan Humphrey,WR,Den,2113,2113,0%,10,FA,32494
Noah Gray,TE,KC,2114,2114,0%,5,FA,33550
Van Jefferson,WR,Was,2115,2115,0%,7,FA,32727
Mitchell Evans,TE,Car,2116,2116,0%,5,FA,41949
Jahdae Walker,WR,Chi,2117,2117,0%,10,FA,42400
Davis Allen,TE,LAR,2118,2118,0%,11,FA,40164
Ben Sinnott,TE,Was,2119,2119,0%,7,FA,40931
Tyler Johnson,WR,Dal,2120,2120,0%,14,FA,32831
Tim Patrick,WR,NYJ,2121,2121,0%,13,FA,30511
Elijah Higgins,TE,Ari,2122,2122,0%,14,FA,40226
JuJu Smith-Schuster,WR,NYG,2123,2123,0%,8,FA,30175
Austin Ekeler,RB,Was,2124,2124,0%,7,FA,30423
Will Dissly,TE,LAC,2125,2125,0%,7,FA,31090
Antonio Gibson,RB,NE,2126,2126,0%,11,FA,32736
Josh Reynolds,WR,NYJ,2127,2127,0%,13,FA,30230
Tutu Atwell,WR,LAR,2130,2130,0%,11,FA,33445
Tyler Lockett,WR,LV,2131,2131,0%,13,FA,28457
Luke Musgrave,TE,GB,2133,2133,0%,11,FA,40074
Nick Vannett,TE,Bal,2134,2134,0%,13,FA,29328
Spencer Rattler,QB,NO,2135,2135,0%,8,FA,41043
Alexander Mattison,RB,Mia,2136,2136,0%,6,FA,31934
Tyrell Shavers,WR,Buf,2137,2137,0%,7,FA,40630
Mitch Tinsley,WR,Hou,2139,2139,0%,8,FA,40313
Noah Brown,WR,LV,2140,2140,0%,13,FA,30352
M. Valdes-Scantling,WR,Dal,2141,2141,0%,14,FA,31144
Bub Means,WR,NO,2142,2142,0%,8,FA,41045
Dyami Brown,WR,Was,2143,2143,0%,7,FA,33470
CJ Dippre,TE,TB,2144,2144,0%,10,FA,42291
Carsen Ryan,TE,Cle,2145,2145,0%,11,FA,42870
RJ Maryland,TE,GB,2146,2146,0%,11,FA,43087
Carson Towt,TE,Ind,2147,2147,0%,13,FA,42620
Evan Svoboda,TE,LAC,2148,2148,0%,7,FA,42927
Thomas Fidone II,TE,NYG,2149,2149,0%,8,FA,42004
Chris Myarick,TE,LV,2150,2150,0%,13,FA,32442
A. Okwuegbunam Jr.,TE,LV,2151,2151,0%,13,FA,32788
Bauer Sharp,TE,TB,2152,2152,0%,10,FA,42807
Lance Mason,TE,Pit,2153,2153,0%,9,FA,43012
Marcedes Lewis,TE,Den,2154,2154,0%,10,FA,7777
DJ Rogers,TE,Dal,2155,2155,0%,14,FA,43055
Josh Cuevas,TE,Bal,2156,2156,0%,13,FA,42782
Messiah Swinson,TE,Cle,2157,2157,0%,11,FA,41463
Tanner Arkin,TE,NE,2158,2158,0%,11,FA,43152
Johnny Pascuzzi,TE,LAC,2159,2159,0%,7,FA,43433
Connor Hulstein,TE,NYJ,2160,2160,0%,13,FA,43471
Chamon Metayer,TE,Car,2161,2161,0%,5,FA,43035
Devin Culp,TE,TB,2162,2162,0%,10,FA,41120
Sal Cannella,TE,Cle,2163,2163,0%,11,FA,33932
Ademola Faleye,TE,TB,2164,2164,0%,10,FA,43109
Justin Joly,TE,Mia,2165,2165,0%,6,FA,42764
Treyton Welch,TE,NO,2166,2166,0%,8,FA,41363
Mitch Van Vooren,TE,NE,2167,2167,0%,11,FA,42547
Jared Wiley,TE,KC,2168,2168,0%,5,FA,40978
Tre Watson,TE,Mia,2169,2169,0%,6,FA,42430
Robert Tonyan,TE,Pit,2170,2170,0%,9,FA,30777
Nikola Kalinic,TE,Chi,2171,2171,0%,10,FA,33950
Sam Roush,TE,Chi,2172,2172,0%,10,FA,42691
Eni Falayi,TE,GB,2173,2173,0%,11,FA,43088
Patrick Gurd,TE,LV,2174,2174,0%,13,FA,43272
E.J. Jenkins,TE,Phi,2175,2175,0%,10,FA,40550
Matt Hibner,TE,Bal,2176,2176,0%,13,FA,42755
